register number,mark,result
100,58,fail
101,89,pass
102,42,fail
103,86,pass
104,80,pass
105,81,pass
106,55,fail
107,98,pass
108,47,fail
109,92,pass
110,42,fail
111,50,fail
112,40,fail
113,92,pass
114,90,pass
115,58,fail
116,73,pass
117,73,pass
118,53,fail
119,75,pass
120,55,fail
121,63,pass
122,44,fail
123,53,fail
124,72,pass
125,45,fail
126,97,pass
127,87,pass
128,53,fail
129,100,pass
130,95,pass
131,50,fail
132,87,pass
133,73,pass
134,41,fail
135,42,fail
136,52,fail
137,56,fail
138,38,fail
139,36,fail
140,63,pass
